Gastag;SLPsyn H-Gas;SLPana H-Gas;SLPsyn L-Gas;SLPana L-Gas;RLMmT H-Gas;RLMmT L-Gas;RLMoT H-Gas;RLMoT L-Gas;Status
20.01.2022;1.500.690.648;293.761.608;357.169.104;97.064.088;1.693.658.424;277.694.616;109.840.073;8.363.136;final
19.01.2022;1.414.843.824;289.847.832;326.858.952;100.347.672;1.652.010.408;268.476.264;98.569.923;6.317.087;final
18.01.2022;1.367.301.528;286.557.048;308.369.112;103.623.984;1.848.592.584;257.064.840;108.831.934;10.806.680;final
17.01.2022;1.395.135.000;289.103.832;317.658.408;107.865.768;1.666.719.096;261.076.800;108.531.811;6.609.776;final
16.01.2022;1.448.530.800;294.736.128;329.901.072;109.745.352;1.407.697.800;229.476.792;101.814.174;2.347.757;final
15.01.2022;1.436.810.016;293.424.264;326.887.272;109.547.952;1.611.740.208;230.454.624;108.084.355;8.049.409;final
14.01.2022;1.469.590.416;295.043.976;344.304.456;110.562.456;1.820.945.136;265.982.160;105.884.201;11.819.919;final
13.01.2022;1.535.342.064;305.525.544;363.228.432;110.250.504;1.818.090.960;279.189.120;106.065.037;7.330.633;final
12.01.2022;1.597.708.992;310.762.920;375.149.400;109.142.832;1.907.963.976;276.664.200;117.776.909;11.425.222;final
11.01.2022;1.565.457.048;305.217.288;381.772.800;103.938.768;1.933.390.296;279.831.168;122.894.430;10.610.562;final
10.01.2022;1.520.064.576;301.303.848;361.048.536;106.098.432;1.905.895.728;273.594.432;109.288.043;9.469.237;final
09.01.2022;1.453.468.920;299.954.808;343.072.560;104.582.520;1.455.293.448;226.174.128;102.818.667;7.818.560;final
08.01.2022;1.476.720.144;296.018.784;352.093.944;102.409.512;1.386.697.704;227.054.064;96.921.419;4.797.363;final
07.01.2022;1.488.568.944;289.610.304;353.973.912;98.081.544;1.559.467.632;258.681.096;106.957.284;6.136.984;final
06.01.2022;1.404.215.472;263.213.040;344.613.216;84.945.576;1.604.591.400;262.689.408;103.616.686;7.957.220;final
05.01.2022;1.194.882.216;231.132.480;298.354.176;73.731.888;1.493.603.952;260.431.368;90.034.603;3.245.338;final
04.01.2022;934.979.880;207.329.832;239.867.496;64.560.072;1.460.821.536;237.361.656;89.847.417;7.264.648;final
03.01.2022;814.063.584;193.241.952;197.749.704;57.338.592;1.297.597.584;217.828.680;73.751.664;2.494.798;final
02.01.2022;737.112.408;189.300.696;166.005.456;58.329.192;1.054.338.288;169.436.136;67.322.647;1.258.846;final
01.01.2022;707.241.936;194.952.192;152.914.248;61.164.840;990.019.224;146.044.368;64.446.163;1.011.408;final
31.12.2021;691.551.240;216.615.864;151.137.288;73.297.296;981.737.760;145.013.976;66.357.903;1.015.123;final
30.12.2021;805.323.120;248.460.192;186.243.864;81.398.280;1.094.877.384;165.471.576;73.647.034;1.064.952;final
29.12.2021;1.109.893.344;296.079.384;262.577.808;94.983.648;1.255.092.888;186.350.616;93.231.073;1.347.840;final
28.12.2021;1.259.109.960;321.992.736;302.830.152;105.756.024;1.306.378.152;195.777.360;95.977.758;1.263.340;final
27.12.2021;1.461.544.800;313.037.616;369.750.216;105.060.912;1.403.880.432;203.486.688;106.670.730;7.110.874;final
