,slp,rlm,industry,gas_to_electricity_public,electricity_from_gas,gas_price [€/MWh],producing_sector,manufacturing_sector,hospitality_sector,retail_sector,residential,commercial,decentral_chp,industry_buildings,aggregated,solar,temperature,temp_inertia,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,bridgeday
2017-07-27,0.309941888,1.298375521,0.8152205480169337,0.25109336127200294,0.1603514307680522,,101.9,100.7,113.0,104.5,0.2589883216760614,0.05749073383240728,0.008799602117205195,0.014666003528675326,0.31647905550846867,1.4583163130347682e-10,290.40440796892,289.5250718413348,2017-07-27,207.0,2017,7,Thursday,3,0,0,0,0,0,0
2017-07-28,0.291489704,1.194966016,0.8036562508111136,0.16254005952020179,0.10380016010441141,,101.9,100.7,113.0,104.5,0.23758417438294788,0.04913540869460899,0.007520725820603416,0.012534543034339027,0.28671958307755685,2.0024777099322864e-10,290.29371538395833,289.9692256934262,2017-07-28,208.0,2017,7,Friday,4,0,1,0,0,0,0
2017-07-29,0.242216072,0.9977122660000002,0.6914588195558318,0.10942198962148943,0.06987828154598516,,101.9,100.7,113.0,104.5,0.1993153911189988,0.03530227033117776,0.005403408724159861,0.009005681206933102,0.23461766145017654,1.9405059908272942e-10,293.0735262430514,291.7081632526873,2017-07-29,209.0,2017,7,Saturday,5,0,0,1,0,0,0
2017-07-30,0.203840128,0.9752290739999999,0.6787953729814057,0.10320703535215739,0.06590933229062894,,101.9,100.7,113.0,104.5,0.1722659370100287,0.02808954206411991,0.004299419703691823,0.007165699506153038,0.2003554790741486,2.4091485448395057e-10,295.2710780652141,293.6969703659083,2017-07-30,210.0,2017,7,Sunday,6,0,0,1,0,0,0
2017-07-31,0.19587696000000002,1.252325049,0.8135194941958299,0.20722816701544614,0.13233855689386861,,101.9,100.7,113.0,104.5,0.16871403126275306,0.02892105238982968,0.00442669169232087,0.00737781948720145,0.19763508365258273,2.406404375919271e-10,294.1607528162687,294.05407288394304,2017-07-31,211.0,2017,7,Monday,0,1,0,0,0,0,0
2017-08-01,0.18587604800000002,1.264876704,0.683680834806164,0.38657850238797836,0.24687397407903894,,103.6,102.2,109.5,103.1,0.1674481045779461,0.029059858204627594,0.004447937480300142,0.00741322913383357,0.19650796278257368,2.0374779471367564e-10,294.27982231288416,294.2998174543063,2017-08-01,212.0,2017,8,Tuesday,1,0,0,0,0,0,0
2017-08-02,0.190347992,1.2775949409999998,0.6835643840032798,0.39944633920933137,0.2550915391900439,,103.6,102.2,109.5,103.1,0.16858227923394983,0.029123745374139528,0.004457716128694825,0.007429526881158043,0.19770602460808936,2.040647804437259e-10,294.00735076500365,294.1847119783055,2017-08-02,213.0,2017,8,Wednesday,2,0,0,0,0,0,0
2017-08-03,0.18814738399999997,1.218985262,0.7596481733073611,0.24309477259806245,0.15524342977792605,,103.6,102.2,109.5,103.1,0.16610355736717614,0.028492639298493716,0.004361118259973528,0.007268530433289213,0.19459619666566985,1.8362002821384221e-10,294.68393384721736,294.4147522993975,2017-08-03,214.0,2017,8,Thursday,3,0,0,0,0,0,0
2017-08-04,0.202286072,1.152080421,0.7323918700656878,0.21120504523151792,0.13487824216753305,,103.6,102.2,109.5,103.1,0.17321222977619827,0.029606856757749676,0.004531661748635155,0.00755276958105859,0.20281908653394795,1.881727486330566e-10,293.236273655945,293.79469630385887,2017-08-04,215.0,2017,8,Friday,4,0,1,0,0,0,0
2017-08-05,0.21958910399999998,1.012719155,0.6501119747588191,0.17754556345271397,0.11338286676294165,,103.6,102.2,109.5,103.1,0.19174099028491237,0.033447237157541,0.005119475075133827,0.008532458458556378,0.22518822744245337,1.650924193734867e-10,291.4333715548922,292.5191519145099,2017-08-05,216.0,2017,8,Saturday,5,0,0,1,0,0,0
