"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 02, 2021","67.606","65.175","70.665","62.840","0.06K","3.03%"
"Nov 01, 2021","65.619","63.590","65.750","63.590","0.01K","1.16%"
"Oct 29, 2021","64.865","72.620","72.620","70.000","0.02K","-15.79%"
"Oct 28, 2021","77.032","78.000","80.600","78.000","0.05K","-11.27%"
"Oct 27, 2021","86.819","86.300","86.950","86.000","0.05K","-1.89%"
"Oct 26, 2021","88.493","90.150","90.200","87.800","0.06K","-0.17%"
"Oct 25, 2021","88.640","91.000","91.000","88.000","0.06K","1.49%"
"Oct 22, 2021","87.340","88.610","88.700","87.000","0.09K","-1.28%"
"Oct 21, 2021","88.470","90.640","90.660","87.810","0.04K","-5.33%"
"Oct 20, 2021","93.450","94.390","94.390","92.750","0.02K","3.91%"
"Oct 19, 2021","89.930","92.150","93.940","89.420","0.06K","-4.27%"
"Oct 18, 2021","93.940","89.350","100.400","89.350","0.04K","0.31%"
"Oct 15, 2021","93.650","104.000","104.000","92.570","0.15K","-8.34%"
"Oct 14, 2021","102.170","102.150","102.250","96.730","0.08K","9.14%"
"Oct 13, 2021","93.610","91.380","94.610","90.290","0.24K","9.23%"
"Oct 12, 2021","85.700","86.310","87.390","85.000","0.60K","0.56%"
"Oct 11, 2021","85.220","92.000","92.140","83.500","0.23K","-2.73%"
"Oct 08, 2021","87.610","95.000","95.670","83.700","0.15K","-9.29%"
"Oct 07, 2021","96.580","89.260","109.470","89.260","0.08K","-10.73%"
"Oct 06, 2021","108.190","131.030","132.930","101.560","0.18K","-6.75%"
"Oct 05, 2021","116.020","95.000","105.610","83.620","0.17K","20.04%"
"Oct 04, 2021","96.650","96.400","99.760","94.230","0.17K","3.24%"
"Oct 01, 2021","93.620","94.670","97.590","93.110","0.20K","-4.25%"
"Sep 30, 2021","97.780","94.920","96.300","93.180","0.05K","12.90%"
"Sep 29, 2021","86.610","86.500","86.500","86.500","0.08K","10.25%"
"Sep 28, 2021","78.560","83.000","84.150","78.950","0.08K","2.69%"
"Sep 27, 2021","76.500","75.000","76.970","75.000","0.28K","8.91%"
"Sep 24, 2021","70.240","68.300","70.890","68.250","0.35K","0.79%"
"Sep 23, 2021","69.690","68.000","70.710","68.000","0.61K","-2.79%"
"Sep 22, 2021","71.690","70.100","72.660","69.920","0.71K","-2.83%"
"Sep 21, 2021","73.780","72.530","75.110","71.250","0.36K","-2.03%"
"Sep 20, 2021","75.310","65.720","75.380","69.810","0.35K","15.68%"
"Sep 17, 2021","65.100","66.750","66.780","62.850","0.38K","2.92%"
"Sep 16, 2021","63.250","68.530","68.530","60.760","0.34K","-10.54%"
"Sep 15, 2021","70.700","71.920","77.280","69.720","0.62K","7.50%"
"Sep 14, 2021","65.770","64.550","66.390","64.550","1.13K","7.33%"
"Sep 13, 2021","61.280","59.350","62.250","59.350","1.02K","5.80%"
"Sep 10, 2021","57.920","56.000","57.990","55.770","1.18K","2.37%"
"Sep 09, 2021","56.580","55.600","57.230","54.730","1.06K","2.33%"
"Sep 08, 2021","55.290","54.170","55.580","53.560","1.43K","2.56%"
"Sep 07, 2021","53.910","53.080","54.190","51.280","2.16K","4.66%"
"Sep 03, 2021","51.510","51.800","52.550","51.290","1.29K","-0.77%"
"Sep 02, 2021","51.910","50.980","52.590","49.720","1.32K","3.34%"
"Sep 01, 2021","50.230","52.250","52.900","49.600","2.05K","-0.22%"
"Aug 31, 2021","50.340","48.580","50.470","48.580","0.20K","1.33%"
"Aug 30, 2021","49.680","48.850","49.430","48.700","0.09K","3.91%"
"Aug 27, 2021","47.810","47.810","47.810","47.810","-","4.41%"
"Aug 26, 2021","45.790","44.220","45.840","44.200","0.32K","1.13%"
